CourseCode,CourseName
APSC 200,Engineering Design and Practice II
APSC 293,Engineering Communications
MTHE 217,Algebraic Structures with Applications
MTHE 237,Differential Equations and Computer Methods
MTHE 280,Advanced Calculus
MTHE 281,Introduction to Real Analysis
MTHE 212,Linear Algebra
MTHE 326,Functions of a Complex Variable
MTHE 332,Introduction to Control
MTHE 334,Mathematical Methods for Engineering and Physics
MTHE 335,Mathematics of Engineering Systems
MTHE 393,Engineering Design and Practice for Mathematics and Engineering
APSC 221,Economics and Business Practices in Engineering
MTHE 494,Mathematics and Engineering Seminar
MTHE 493,Engineering Mathematics Project
ELEC 221,Electric Circuits
ELEC 271,Digital Systems
ELEC 293,Electrical and Computer Engineering Laboratory I
ENPH 225,Mechanics
ELEC 252,Electronics I
ELEC 274,Computer Architecture
ELEC 294,Electrical and Computer Engineering Laboratory II
MTHE 351,Probability I
ELEC 278,Fundamentals of Information Structures
ELEC 371,Microprocessor Interfacing and Embedded Systems
ENPH 239,Electricity and Magnetism
MTHE 353,Probability II
MTHE 430,Modern Control Theory
MTHE 472,Control of Stochastic Systems
MTHE 474,Information Theory
MTHE 406,Introduction to Coding Theory
MTHE 434,Optimization Theory and Application
MTHE 439,"Lagrangian Mechanics, Dynamics, and Control"
MTHE 477,Data Compression and Source Coding
MTHE 478,Topics in Communication Theory
MTHE 484,Data Networks
MTHE 454,Statistical Spectrum Estimation
MTHE 455,Stochastic Processes and Applications
ELEC 353,Electronics II
ELEC 421,Digital Signal Processing: Filters and System Design
ELEC 431,Power Electronics
ELEC 448,Introduction to Robotics: Mechanics and Control
MECH 456,Introduction to Robotics
ELEC 454,Analog Electronics
ELEC 457,Integrated Circuits and System Applications
ELEC 461,Digital Communications
ELEC 464,Wireless Communications
ELEC 483,Microwave and RF Circuits and Systems
ELEC 486,Fiber Optic Communications
MECH 452,Mechatronics Engineering
APSC 200,Engineering Design and Practice II
APSC 293,Engineering Communications
MTHE 217,Algebraic Structures with Applications
MTHE 237,Differential Equations and Computer Methods
MTHE 280,Advanced Calculus
MTHE 281,Introduction to Real Analysis
MTHE 212,Linear Algebra
MTHE 326,Functions of a Complex Variable
MTHE 332,Introduction to Control
MTHE 334,Mathematical Methods for Engineering and Physics
MTHE 335,Mathematics of Engineering Systems
MTHE 393,Engineering Design and Practice for Mathematics and Engineering
APSC 221,Economics and Business Practices in Engineering
MTHE 494,Mathematics and Engineering Seminar
MTHE 493,Engineering Mathematics Project
ELEC 221,Electric Circuits
ELEC 271,Digital Systems
ELEC 293,Electrical and Computer Engineering Laboratory I
ELEC 252,Electronics I
ELEC 274,Computer Architecture
